101	Maive	B2B · Sales		AI workforce for residential roofing sales	面向住宅屋顶销售的 AI 数字员工
102	Weave	B2B · Engineering		AI measurement for engineering and agents	面向工程与智能体的 AI 度量
103	Caseflood	B2B · Legal		AI legal intake for plaintiff firms	面向原告律所的 AI 法律接案
104	Tejas AI	B2B · Recruiting		AI recruiting platform	AI 招聘平台
105	Vora AI	Consumer · Health		AI health coach for workouts and recovery	面向训练与恢复的 AI 健康教练
106	Maritime Fusion	Industrials · Energy		Zero-emission fusion for ships and off-grid	面向船舶与离网的零排放聚变
107	a0.dev	B2B · Dev Tools		AI app builder for mobile launches	面向移动端上线的 AI 应用搭建器
108	General Agency Company	Fintech · Insurance		Independent insurance agency	独立保险代理机构
109	A1Base	B2B · Infrastructure		Phone/social infra for AI agents	面向 AI 智能体的电话/社交基础设施
110	Verbiflow	B2B · Sales		Outbound sequencing infrastructure for startups	面向初创的外呼触达基础设施
111	Toothy AI	Healthcare		AI dental insurance verification and billing	面向牙科的 AI 保险核验与计费
112	Rocketable	B2B		AI-backed software holding company	AI 驱动的软件控股公司
113	Sublingual	B2B · Infrastructure		LLM observability without code changes	无需改代码的 LLM 可观测性
114	Contrario	B2B · Recruiting		AI recruiting platform with expert recruiters	带专家招聘官的 AI 招聘平台
115	Ovlo	B2B · Supply Chain		Zero-code AI workflows for supply chain automation	面向供应链自动化的零代码 AI 工作流
116	Truffle AI	B2B · Infrastructure		Serverless AI agents and orchestration SDK	无服务器 AI 智能体与编排 SDK
117	superglue	B2B · Infrastructure		AI-native enterprise integration builder	AI 原生的企业集成搭建器
118	Conntour	B2B · Security		Natural-language video intelligence for security	面向安防的自然语言视频智能
119	Closure	Government		Digital analyst for law enforcement	面向执法的数字分析师
120	Promptless	B2B · Dev Tools		Automatic docs updates from product changes	随产品变更自动更新文档
121	Scout	Education		AI-native SIS for California schools	面向加州学校的 AI 原生学籍系统
122	Subtrace	B2B · Dev Tools		Zero-code network tracer for backend requests	面向后端请求的零代码网络追踪
123	Vocality Health	Healthcare · Voice		AI voice solutions for healthcare communication	面向医疗沟通的 AI 语音方案
124	Astro	Industrials · Energy		AI-driven renewable energy development	AI 驱动的可再生能源开发
125	Dartboard Energy	Industrials · Energy		Telemetry-to-events engine for grid operators	面向电网运营商的遥测转事件引擎
126	Karoo (Extruct 误配)	Fintech		[Extruct 配到加拿大个人贷款,可能与实际 YC 公司不符]	[此条 Extruct 富集疑似错配,待核实]
127	Awen	B2B · Content		Conversation-based AI visual production	对话式的 AI 视觉制作
128	Dollyglot	Consumer		Real-time video avatars for AI companions	面向 AI 伴侣的实时视频虚拟形象
129	Alice	Education		AI study tutor for exam prep	面向备考的 AI 学习家教
130	Stamp	Consumer · Productivity		AI secretary for email and calendar	面向邮件与日历的 AI 秘书
131	Splash	Industrials · Defense		Autonomous surface vessels for maritime missions	面向海上任务的自主水面无人艇
132	Guse	B2B		AI automation for various business tasks	面向多类业务任务的 AI 自动化
133	Axiom	Fintech		DeFi trading gateway	DeFi 交易网关
134	Steinmetz (Extruct 误配)	Industrials		[Extruct 配到高压 EV 电机控制器,可能与实际 YC 公司不符]	[此条 Extruct 富集疑似错配,待核实]
135	SubImage	B2B · Security		Managed CNAPP built on Cartography	基于 Cartography 的托管 CNAPP
136	Excellence AI	Education		AI tutoring and lesson tools for schools	面向学校的 AI 辅导与备课工具
137	NextByte	B2B · Dev Tools		Plain-English website customization extension	用大白话定制网站的浏览器扩展
138	Leaping AI	B2B · Voice		Voice AI agents for enterprise calls	面向企业通话的语音 AI 智能体
139	Vetnio	Healthcare		AI veterinary scribe and copilot	面向兽医的 AI 病历助手与副驾
140	Bild AI	Real Estate & Construction		AI blueprint takeoffs for Division 8	面向 Division 8(门窗)的 AI 图纸算量
141	Trace	Consumer · Sports		Smart camera technology for sports tracking	面向运动追踪的智能摄像头技术
142	Revise Robotics	Industrials · Robotics		AI and robotics for electronics refurbishment	面向电子产品翻新的 AI 与机器人
143	Enhanced Radar	Industrials · Aviation		Applied AI for aviation safety systems	面向航空安全系统的应用 AI
144	Edexia	Education		AI essay grading for senior English	面向高年级英语的 AI 作文批改
145	Quantstruct	B2B · Dev Tools		AI documentation engineer for technical teams	面向技术团队的 AI 文档工程师
146	RADA (Extruct 误配)	Industrials		[Extruct 配到美国本土刀具,可能与实际 YC 公司不符]	[此条 Extruct 富集疑似错配,待核实]
147	Onlook	B2B · Dev Tools		Open-source AI visual editor for React	面向 React 的开源 AI 可视化编辑器
148	Exin Therapeutics	Healthcare · Drug Discovery		AI drug discovery for neurotherapeutics	面向神经疗法的 AI 药物发现
149	Uncommon Therapeutics	Healthcare · Drug Discovery		Rare disease therapeutics for underlying causes	面向罕见病根因的疗法
150	Youshift	Healthcare		AI shift scheduling for healthcare teams	面向医疗团队的 AI 排班
151	Overstand Labs	B2B · Analytics		Customer insights platform	客户洞察平台
152	Egress Health	Fintech · Insurance		AI agents for insurance workflow automation	面向保险流程自动化的 AI 智能体
