57	CTGT	B2B · AI		Deterministic governance for enterprise AI	面向企业 AI 的确定性治理
58	StudyDojo	Education		IB/MYP revision platform with AI grading	带 AI 批改的 IB/MYP 复习平台
59	ISSEN	Education · Voice		Realtime AI voice tutor for languages	面向语言学习的实时 AI 语音家教
60	Protegee AI	B2B · Voice		Personalized learning / voice AI platform	个性化学习/语音 AI 平台
61	Circlemind	B2B · Infrastructure		AI agents for digital automation (open-source RAG)	面向数字自动化的 AI 智能体(开源 RAG)
62	Reticular	Healthcare		Embryo screening using existing IVF data	用既有试管婴儿数据做胚胎筛选
63	Astrix Health	Healthcare · Data		Data products for healthcare provider insights	面向医疗机构洞察的数据产品
64	Lune	B2B · Productivity		Instant answers from AI and humans	由 AI 与人共同给出即时答案
65	Vocera	B2B · Voice		Voice AI testing and observability	语音 AI 的测试与可观测性
66	Sandra AI	B2B · Automotive		AI agents for dealership operations	面向汽车经销商运营的 AI 智能体
67	Vesper Company	B2B · Infrastructure		Docx API for AI agents	面向 AI 智能体的 Word 文档 API
68	Praxis Technologies	B2B · Analytics		AI apps for operational data	面向运营数据的 AI 应用
69	Revyl	B2B · Engineering		Mobile runtime platform for teams and agents	面向团队与智能体的移动运行时平台
70	Super Contrast	B2B		(Coming soon; details unavailable)	(即将上线,暂无详情)
71	Raycaster	Healthcare		AI workspace for regulated biopharma documents	面向受监管生物制药文档的 AI 工作空间
72	Lightscreen	B2B · Recruiting		AI recruiting copilot for high-volume hiring	面向大批量招聘的 AI 招聘副驾
73	Afternoon	B2B · Finance		Accounting and tax for AI startups	面向 AI 初创的会计与税务
74	Rulebase	Fintech · Compliance		AI agents for financial compliance	面向金融合规的 AI 智能体
75	HealthSpark	Healthcare		Insurance-covered telehealth physical therapy	医保覆盖的远程理疗
76	OpenFunnel	B2B · Sales		Agent-ready real-time TAM intelligence	面向智能体的实时 TAM 市场情报
77	Coblocks	Industrials · Hardware		LLM protocol for image sensors	面向图像传感器的 LLM 协议
78	Getcho	B2B · Logistics		AI delivery orchestration for local businesses	面向本地商家的 AI 配送编排
79	Encore	Consumer		Secondhand shopping platform for hidden gems	淘好物的二手购物平台
80	Summed AI	Healthcare		AI assistant for Medicare policy details	面向 Medicare 政策细节的 AI 助手
81	Gait	B2B · Dev Tools		Open-source collaboration layer for AI coding	面向 AI 编码的开源协作层
82	Durate	Healthcare		Healthcare scheduling on autopilot	自动驾驶式的医疗排程
83	Upshift	B2B · Dev Tools		Asynchronous coding agent workspace for developers	面向开发者的异步编码智能体工作空间
84	PearAI	B2B · Dev Tools		Open-source AI code editor	开源的 AI 代码编辑器
85	Symphony	Fintech · Insurance		AI-powered insurance operations platform	AI 保险运营平台
86	telli technologies	B2B · Voice		AI voice platform for customer calls	面向客户来电的 AI 语音平台
87	ShowAndTell	Healthcare		AI clinical documentation for dental practices	面向牙科诊所的 AI 临床文书
88	Galini	B2B		AI adoption and ROI services	AI 落地与 ROI 服务
89	Riveter AI	B2B · Data		Fully automated web data API	全自动的网页数据 API
90	Andoria	B2B · HR		AI work assistant for onboarding and training	面向入职与培训的 AI 工作助手
91	Fixa	B2B · Voice		Open-source voice agent observability platform	开源的语音智能体可观测性平台
92	Variant	B2B · Dev Tools		Scroll-based AI app and site designer	滚动式的 AI 应用与网站设计器
